iter	Passed	Remaining
0	9	12319
1	15	10208
2	21	9099
3	25	8120
4	30	7856
5	35	7616
6	40	7409
7	44	7201
8	49	7125
9	53	6930
10	59	7029
11	65	7038
12	70	6970
13	74	6874
14	79	6813
15	84	6752
16	88	6686
17	94	6727
18	99	6702
19	104	6684
20	108	6636
21	114	6633
22	118	6581
23	123	6565
24	129	6580
25	134	6614
26	140	6621
27	146	6639
28	150	6602
29	155	6574
30	160	6553
31	166	6581
32	170	6549
33	175	6546
34	181	6564
35	186	6546
36	191	6527
37	195	6507
38	200	6483
39	206	6498
40	211	6500
41	216	6489
42	226	6633
43	242	6917
44	251	7024
45	271	7404
46	277	7390
47	283	7405
48	289	7383
49	296	7400
50	302	7396
51	309	7419
52	314	7391
53	319	7376
54	324	7351
55	329	7324
56	335	7310
57	341	7319
58	346	7285
59	350	7243
60	356	7233
61	362	7241
62	369	7256
63	377	7287
64	382	7264
65	390	7297
66	396	7303
67	401	7281
68	406	7250
69	410	7216
70	417	7225
71	422	7199
72	427	7181
73	435	7208
74	443	7237
75	448	7225
76	453	7204
77	458	7184
78	463	7160
79	467	7132
80	472	7110
81	477	7093
82	481	7063
83	488	7065
84	493	7049
85	497	7029
86	501	6993
87	506	6969
88	510	6940
89	514	6915
90	520	6909
91	525	6902
92	532	6912
93	538	6913
94	544	6907
95	552	6924
96	558	6924
97	562	6902
98	569	6909
99	577	6932
100	585	6950
101	592	6963
102	598	6958
103	603	6943
104	609	6941
105	615	6934
106	624	6967
107	630	6960
108	635	6946
109	648	7020
110	655	7024
111	662	7025
112	668	7022
113	674	7021
114	681	7020
115	686	7006
116	691	6989
117	695	6970
118	701	6960
119	706	6947
120	712	6942
121	717	6928
122	722	6910
123	726	6892
124	732	6881
125	736	6864
126	741	6846
127	747	6840
128	752	6829
129	757	6814
130	761	6793
131	765	6777
132	771	6769
133	777	6766
134	782	6750
135	787	6740
136	792	6723
137	795	6701
138	800	6689
139	805	6672
140	810	6658
141	816	6659
142	822	6654
143	828	6651
144	835	6656
145	840	6645
146	849	6661
147	854	6654
148	859	6640
149	864	6629
150	870	6625
151	876	6616
152	882	6616
153	887	6606
154	892	6593
155	897	6580
156	901	6564
157	905	6546
158	910	6536
159	915	6525
160	920	6513
161	925	6503
162	931	6497
163	935	6482
164	940	6468
165	944	6454
166	951	6454
167	956	6446
168	961	6432
169	965	6417
170	970	6406
171	975	6396
172	980	6389
173	985	6376
174	990	6366
175	994	6349
176	998	6337
177	1003	6323
178	1007	6309
179	1012	6301
180	1017	6292
181	1023	6289
182	1028	6275
183	1032	6264
184	1040	6272
185	1049	6285
186	1056	6289
187	1061	6277
188	1066	6267
189	1071	6260
190	1076	6252
191	1081	6240
192	1085	6227
193	1091	6220
194	1097	6217
195	1101	6205
196	1105	6192
197	1110	6180
198	1115	6172
199	1120	6160
200	1124	6147
201	1129	6137
202	1133	6127
203	1138	6115
204	1143	6109
205	1149	6103
